codigo,municipio,departamento
25377,la_calera,cundinamarca
25386,la_mesa,cundinamarca
25394,la_palma,cundinamarca
25398,la_pena,cundinamarca
25402,la_vega,cundinamarca
25407,lenguazaque,cundinamarca
25426,macheta,cundinamarca
25430,madrid,cundinamarca
25436,manta,cundinamarca
25438,medina,cundinamarca
25473,mosquera,cundinamarca
25483,narino,cundinamarca
25486,nemocon,cundinamarca
25488,nilo,cundinamarca
25489,nimaima,cundinamarca
25491,nocaima,cundinamarca
25506,venecia,cundinamarca
25513,pacho,cundinamarca
25518,paime,cundinamarca
25524,pandi,cundinamarca
25530,paratebueno,cundinamarca
25535,pasca,cundinamarca
25572,puerto_salgar,cundinamarca
25580,puli,cundinamarca
25592,quebradanegra,cundinamarca
25594,quetame,cundinamarca
25596,quipile,cundinamarca
25599,apulo,cundinamarca
25612,ricaurte,cundinamarca
25645,san_antonio_del_tequendama,cundinamarca
25649,san_bernardo,cundinamarca
25653,san_cayetano,cundinamarca
25658,san_francisco,cundinamarca
25662,san_juan_de_rio_seco,cundinamarca
25718,sasaima,cundinamarca
25736,sesquile,cundinamarca
25740,sibate,cundinamarca
25743,silvania,cundinamarca
25745,simijaca,cundinamarca
25754,soacha,cundinamarca
25758,sopo,cundinamarca
25769,subachoque,cundinamarca
25772,suesca,cundinamarca
25777,supata,cundinamarca
25779,susa,cundinamarca
25781,sutatausa,cundinamarca
25785,tabio,cundinamarca
25793,tausa,cundinamarca
25797,tena,cundinamarca
25799,tenjo,cundinamarca
25805,tibacuy,cundinamarca
25807,tibirita,cundinamarca
25815,tocaima,cundinamarca
25817,tocancipa,cundinamarca
25823,topaipi,cundinamarca
25839,ubala,cundinamarca
25841,ubaque,cundinamarca
25843,villa_de_san_diego_de_ubate,cundinamarca
25845,une,cundinamarca
25851,utica,cundinamarca
25862,vergara,cundinamarca
25867,viani,cundinamarca
25871,villagomez,cundinamarca
25873,villapinzon,cundinamarca
25875,villeta,cundinamarca
25878,viota,cundinamarca
25885,yacopi,cundinamarca
25898,zipacon,cundinamarca
25899,zipaquira,cundinamarca
94001,inirida,guainia
94343,barranco_minas,guainia
94663,mapiripana,guainia
94883,san_felipe,guainia
94884,puerto_colombia,guainia
94885,la_guadalupe,guainia
94886,cacahual,guainia
94887,pana_pana,guainia
94888,morichal,guainia
95001,san_jose_del_guaviare,guaviare
95015,calamar,guaviare
95025,el_retorno,guaviare
95200,miraflores,guaviare
41001,neiva,huila
41006,acevedo,huila
41013,agrado,huila
41016,aipe,huila
41020,algeciras,huila
41026,altamira,huila
41078,baraya,huila
41132,campoalegre,huila
41206,colombia,huila
41244,elias,huila
41298,garzon,huila
41306,gigante,huila
41319,guadalupe,huila
41349,hobo,huila
41357,iquira,huila
41359,isnos,huila
41378,la_argentina,huila
41396,la_plata,huila
41483,nataga,huila
41503,oporapa,huila
41518,paicol,huila
41524,palermo,huila
41530,palestina,huila
41548,pital,huila
41551,pitalito,huila
41615,rivera,huila
41660,saladoblanco,huila
41668,san_agustin,huila
41676,santa_maria,huila
41770,suaza,huila
41791,tarqui,huila
41797,tesalia,huila
41799,tello,huila
41801,teruel,huila
41807,timana,huila
41872,villavieja,huila
41885,yaguara,huila
44001,riohacha,la_guajira
44035,albania,la_guajira
44078,barrancas,la_guajira
44090,dibulla,la_guajira
44098,distraccion,la_guajira
44110,el_molino,la_guajira
44279,fonseca,la_guajira
44378,hatonuevo,la_guajira
44420,la_jagua_del_pilar,la_guajira
44430,maicao,la_guajira
44560,manaure,la_guajira
44650,san_juan_del_cesar,la_guajira
44847,uribia,la_guajira
44855,urumita,la_guajira
44874,villanueva,la_guajira
47001,santa_marta,magdalena
47030,algarrobo,magdalena
47053,aracataca,magdalena
47058,ariguani,magdalena
47161,cerro_san_antonio,magdalena
47170,chivolo,magdalena
47189,cienaga,magdalena
47205,concordia,magdalena
47245,el_banco,magdalena
47258,el_pinon,magdalena
47268,el_reten,magdalena
47288,fundacion,magdalena
47318,guamal,magdalena
47460,nueva_granada,magdalena
47541,pedraza,magdalena
47545,pijino_del_carmen,magdalena
47551,pivijay,magdalena
47555,plato,magdalena
47570,puebloviejo,magdalena
47605,remolino,magdalena
47660,sabanas_de_san_angel,magdalena
47675,salamina,magdalena
47692,san_sebastian_de_buenavista,magdalena
47703,san_zenon,magdalena
47707,santa_ana,magdalena
47720,santa_barbara_de_pinto,magdalena
47745,sitionuevo,magdalena
47798,tenerife,magdalena
47960,zapayan,magdalena
47980,zona_bananera,magdalena
50001,villavicencio,meta
50006,acacias,meta
50110,barranca_de_upia,meta
50124,cabuyaro,meta
50150,castilla_la_nueva,meta
50223,cubarral,meta
50226,cumaral,meta
50245,el_calvario,meta
50251,el_castillo,meta
50270,el_dorado,meta
50287,fuente_de_oro,meta
50313,granada,meta
50318,guamal,meta
50325,mapiripan,meta
50330,mesetas,meta
50350,la_macarena,meta
50370,uribe,meta
50400,lejanias,meta
50450,puerto_concordia,meta
50568,puerto_gaitan,meta
50573,puerto_lopez,meta
50577,puerto_lleras,meta
50590,puerto_rico,meta
50606,restrepo,meta
50680,san_carlos_de_guaroa,meta
50683,san_juan_de_arama,meta
50686,san_juanito,meta
50689,san_martin,meta
50711,vistahermosa,meta
52001,pasto,narino
52019,alban,narino
52022,aldana,narino
52036,ancuya,narino
52051,arboleda,narino
52079,barbacoas,narino
52083,belen,narino
52110,buesaco,narino
52203,colon,narino
52207,consaca,narino
52210,contadero,narino
52215,cordoba,narino
52224,cuaspud,narino
52227,cumbal,narino
52233,cumbitara,narino
52240,chachagüi,narino
52250,el_charco,narino
52254,el_penol,narino
52256,el_rosario,narino
52258,el_tablon_de_gomez,narino
52260,el_tambo,narino
52287,funes,narino
52317,guachucal,narino
52320,guaitarilla,narino
52323,gualmatan,narino
52352,iles,narino
52354,imues,narino
52356,ipiales,narino
52378,la_cruz,narino
52381,la_florida,narino
52385,la_llanada,narino
52390,la_tola,narino
52399,la_union,narino
52405,leiva,narino
52411,linares,narino
52418,los_andes,narino
52427,magüi,narino
52435,mallama,narino
52473,mosquera,narino
52480,narino,narino
52490,olaya_herrera,narino
52506,ospina,narino
52520,francisco_pizarro,narino
52540,policarpa,narino
52560,potosi,narino
52565,providencia,narino
52573,puerres,narino
52585,pupiales,narino
52612,ricaurte,narino
52621,roberto_payan,narino
52678,samaniego,narino
52683,sandona,narino
52685,san_bernardo,narino
52687,san_lorenzo,narino
52693,san_pablo,narino
52694,san_pedro_de_cartago,narino
52696,santa_barbara,narino
52699,santacruz,narino
52720,sapuyes,narino
52786,taminango,narino
52788,tangua,narino
52835,san_andres_de_tumaco,narino
52838,tuquerres,narino
52885,yacuanquer,narino
54001,cucuta,norte_de_santander
54003,abrego,norte_de_santander
54051,arboledas,norte_de_santander
54099,bochalema,norte_de_santander
54109,bucarasica,norte_de_santander
54125,cacota,norte_de_santander
54128,cachira,norte_de_santander
54172,chinacota,norte_de_santander
54174,chitaga,norte_de_santander
54206,convencion,norte_de_santander
54223,cucutilla,norte_de_santander
54239,durania,norte_de_santander
54245,el_carmen,norte_de_santander
54250,el_tarra,norte_de_santander
54261,el_zulia,norte_de_santander
54313,gramalote,norte_de_santander
54344,hacari,norte_de_santander
54347,herran,norte_de_santander
54377,labateca,norte_de_santander
54385,la_esperanza,norte_de_santander
54398,la_playa,norte_de_santander
54405,los_patios,norte_de_santander
54418,lourdes,norte_de_santander
54480,mutiscua,norte_de_santander
54498,ocana,norte_de_santander
54518,pamplona,norte_de_santander
54520,pamplonita,norte_de_santander
54553,puerto_santander,norte_de_santander
54599,ragonvalia,norte_de_santander
54660,salazar,norte_de_santander
54670,san_calixto,norte_de_santander
54673,san_cayetano,norte_de_santander
54680,santiago,norte_de_santander
54720,sardinata,norte_de_santander
54743,silos,norte_de_santander
54800,teorama,norte_de_santander
54810,tibu,norte_de_santander
54820,toledo,norte_de_santander
54871,villa_caro,norte_de_santander
54874,villa_del_rosario,norte_de_santander
86001,mocoa,putumayo
86219,colon,putumayo
86320,orito,putumayo
86568,puerto_asis,putumayo
86569,puerto_caicedo,putumayo
86571,puerto_guzman,putumayo
86573,puerto_leguizamo,putumayo
86749,sibundoy,putumayo
86755,san_francisco,putumayo
86757,san_miguel,putumayo
86760,santiago,putumayo
86865,valle_del_guamuez,putumayo
86885,villagarzon,putumayo
63001,armenia,quindio
63111,buenavista,quindio
63130,calarca,quindio
63190,circasia,quindio
63212,cordoba,quindio
63272,filandia,quindio
63302,genova,quindio
63401,la_tebaida,quindio
63470,montenegro,quindio
63548,pijao,quindio
63594,quimbaya,quindio
63690,salento,quindio
66001,pereira,risaralda
66045,apia,risaralda
66075,balboa,risaralda
66088,belen_de_umbria,risaralda
66170,dosquebradas,risaralda
66318,guatica,risaralda
66383,la_celia,risaralda
66400,la_virginia,risaralda
66440,marsella,risaralda
66456,mistrato,risaralda
66572,pueblo_rico,risaralda
66594,quinchia,risaralda
66682,santa_rosa_de_cabal,risaralda
66687,santuario,risaralda
88001,san_andres,san_andres
88564,providencia,san_andres
68001,bucaramanga,santander
68013,aguada,santander
68020,albania,santander
68051,aratoca,santander
68077,barbosa,santander
68079,barichara,santander
68081,barrancabermeja,santander
68092,betulia,santander
68101,bolivar,santander
68121,cabrera,santander
68132,california,santander
68147,capitanejo,santander
68152,carcasi,santander
68160,cepita,santander
68162,cerrito,santander
68167,charala,santander
68169,charta,santander
68176,chima,santander
68179,chipata,santander
68190,cimitarra,santander
68207,concepcion,santander
68209,confines,santander
68211,contratacion,santander
68217,coromoro,santander
68229,curiti,santander
68235,el_carmen_de_chucuri,santander
68245,el_guacamayo,santander
68250,el_penon,santander
68255,el_playon,santander
68264,encino,santander
68266,enciso,santander
68271,florian,santander
68276,floridablanca,santander
68296,galan,santander
68298,gambita,santander
68307,giron,santander
68318,guaca,santander
68320,guadalupe,santander
68322,guapota,santander
68324,guavata,santander
68327,güepsa,santander
68344,hato,santander
68368,jesus_maria,santander
68370,jordan,santander
68377,la_belleza,santander
68385,landazuri,santander
68397,la_paz,santander
68406,lebrija,santander
68418,los_santos,santander
68425,macaravita,santander
68432,malaga,santander
68444,matanza,santander
68464,mogotes,santander
68468,molagavita,santander
68498,ocamonte,santander
68500,oiba,santander
68502,onzaga,santander
68522,palmar,santander
68524,palmas_del_socorro,santander
68533,paramo,santander
68547,piedecuesta,santander
68549,pinchote,santander
68572,puente_nacional,santander
68573,puerto_parra,santander
68575,puerto_wilches,santander
68615,rionegro,santander
68655,sabana_de_torres,santander
68669,san_andres,santander
68673,san_benito,santander
68679,san_gil,santander
68682,san_joaquin,santander
68684,san_jose_de_miranda,santander
68686,san_miguel,santander
68689,san_vicente_de_chucuri,santander
68705,santa_barbara,santander
68720,santa_helena_del_opon,santander
68745,simacota,santander
68755,socorro,santander
68770,suaita,santander
68773,sucre,santander
68780,surata,santander
68820,tona,santander
68855,valle_de_san_jose,santander
68861,velez,santander
68867,vetas,santander
68872,villanueva,santander
68895,zapatoca,santander
70001,sincelejo,sucre
70110,buenavista,sucre
70124,caimito,sucre
70204,coloso,sucre
70215,corozal,sucre
70221,covenas,sucre
70230,chalan,sucre
70233,el_roble,sucre
70235,galeras,sucre
70265,guaranda,sucre
70400,la_union,sucre
70418,los_palmitos,sucre
70429,majagual,sucre
70473,morroa,sucre
70508,ovejas,sucre
70523,palmito,sucre
70670,sampues,sucre
70678,san_benito_abad,sucre
70702,san_juan_de_betulia,sucre
70708,san_marcos,sucre
70713,san_onofre,sucre
70717,san_pedro,sucre
70742,san_luis_de_since,sucre
70771,sucre,sucre
70820,santiago_de_tolu,sucre
70823,tolu_viejo,sucre
73001,ibague,tolima
73024,alpujarra,tolima
73026,alvarado,tolima
73030,ambalema,tolima
73043,anzoategui,tolima
73055,armero,tolima
73067,ataco,tolima
73124,cajamarca,tolima
73148,carmen_de_apicala,tolima
73152,casabianca,tolima
73168,chaparral,tolima
73200,coello,tolima
73217,coyaima,tolima
73226,cunday,tolima
73236,dolores,tolima
73268,espinal,tolima
73270,falan,tolima
73275,flandes,tolima
73283,fresno,tolima
73319,guamo,tolima
73347,herveo,tolima
73349,honda,tolima
73352,icononzo,tolima
73408,lerida,tolima
73411,libano,tolima
73443,san_sebastian_de_mariquita,tolima
73449,melgar,tolima
73461,murillo,tolima
73483,natagaima,tolima
73504,ortega,tolima
73520,palocabildo,tolima
73547,piedras,tolima
73555,planadas,tolima
73563,prado,tolima
73585,purificacion,tolima
73616,rioblanco,tolima
73622,roncesvalles,tolima
73624,rovira,tolima
73671,saldana,tolima
73675,san_antonio,tolima
73678,san_luis,tolima
73686,santa_isabel,tolima
73770,suarez,tolima
73854,valle_de_san_juan,tolima
73861,venadillo,tolima
73870,villahermosa,tolima
73873,villarrica,tolima
76001,cali,valle
76020,alcala,valle
76036,andalucia,valle
76041,ansermanuevo,valle
76054,argelia,valle
76100,bolivar,valle
76109,buenaventura,valle
76111,guadalajara_de_buga,valle
76113,bugalagrande,valle
76122,caicedonia,valle
76126,calima,valle
76130,candelaria,valle
76147,cartago,valle
76233,dagua,valle
76243,el_aguila,valle
76246,el_cairo,valle
76248,el_cerrito,valle
76250,el_dovio,valle
76275,florida,valle
76306,ginebra,valle
76318,guacari,valle
76364,jamundi,valle
76377,la_cumbre,valle
76400,la_union,valle
76403,la_victoria,valle
76497,obando,valle
76520,palmira,valle
76563,pradera,valle
76606,restrepo,valle
76616,riofrio,valle
76622,roldanillo,valle
76670,san_pedro,valle
76736,sevilla,valle
76823,toro,valle
76828,trujillo,valle
76834,tulua,valle
76845,ulloa,valle
76863,versalles,valle
76869,vijes,valle
76890,yotoco,valle
76892,yumbo,valle
76895,zarzal,valle
97001,mitu,vaupes
97161,caruru,vaupes
97511,pacoa,vaupes
97666,taraira,vaupes
97777,papunaua,vaupes
97889,yavarate,vaupes
99001,puerto_carreno,vichada
99524,la_primavera,vichada
99624,santa_rosalia,vichada
99773,cumaribo,vichada
